Funds,Rating,1 Yr Ret (%),1 Yr Rank,Riskometer,Category,Expense Ratio (%),Launch,Net Assets (Cr)
Tata Gilt Securities Fund - Regular Plan,3,8.68,12/32,Moderate,Debt - Govt Instruments,1.37,1999-09-06,"1,159"
Tata Income Plus Arbitrage Active FoF - Regular Plan,--,--,--,Low to Moderate,Debt,0.61,2025-05-22,195.00
Tata Liquid Fund - Regular Plan,3,7.20,14/45,Low to Moderate,Debt,0.31,2004-09-01,"18,156"
Tata Money Market Fund - Regular Plan,4,8.13,6/23,Moderate,Debt,0.40,2003-05-21,"31,975"
Tata Nifty G-Sec Dec 2026 Index Fund - Regular Plan,--,8.42,77/95,Low to Moderate,Debt,0.44,2023-01-16,93.00
Tata Nifty G-Sec Dec 2029 Index Fund - Regular Plan,--,10.13,33/95,Moderate,Debt,0.45,2023-01-13,185.00
Tata Nifty SDL Plus AAA PSU Bond Dec 2027 60:40 Index Fund - Regular Plan,--,9.38,46/95,Low to Moderate,Debt,0.46,2022-03-30,869.00
Tata Overnight Fund - Regular Plan,3,6.35,15/35,Low,Debt,0.18,2019-03-27,"2,724"
Tata Short Term Bond Fund - Regular Plan,3,8.45,23/25,Moderate,Debt,1.18,2002-08-08,"3,269"
Tata Treasury Advantage Fund - Regular Plan,4,8.00,5/20,Low to Moderate,Debt,0.57,2005-09-06,"3,127"
Tata Ultra Short Term Fund - Regular Plan,3,7.22,15/24,Moderate,Debt,1.14,2019-01-22,"4,684"
TRUSTMF Banking & PSU Fund - Regular Plan,3,8.66,20/22,Moderate,Debt - Banking,0.71,2021-02-01,110.00
TRUSTMF Corporate Bond Fund - Regular Plan,1,8.62,20/21,Moderate,Debt - Bond,0.65,2023-01-20,43.00
TRUSTMF Liquid Fund - Regular Plan,2,7.06,29/45,Low to Moderate,Debt,0.25,2021-04-23,764.00
TRUSTMF Money Market Fund - Regular Plan,3,7.76,17/23,Low to Moderate,Debt,0.46,2022-08-17,110.00
TRUSTMF Overnight Fund - Regular Plan,4,6.36,14/35,Low,Debt,0.12,2022-01-19,79.00
TRUSTMF Short Duration Fund - Regular Plan,3,8.92,15/25,Moderate,Debt,0.73,2021-08-06,113.00
Unifi Liquid Fund - Regular Plan,--,--,--,Low to Moderate,Debt,--,2025-06-11,--
Union Corporate Bond Fund - Regular Plan,2,9.65,5/21,Moderate,Debt - Bond,0.70,2018-05-25,337.00
Union Dynamic Bond Fund,2,7.88,18/23,Moderate,Debt - Bond,1.55,2012-02-13,109.00
Union Gilt Fund - Regular Plan,3,7.06,25/32,Moderate,Debt - Govt Instruments,1.12,2022-08-08,100.00
Union Income Plus Arbitrage Active FoF - Regular Plan,--,--,--,Low to Moderate,Debt,--,2025-06-12,--
Union Liquid Fund,4,7.21,10/45,Low to Moderate,Debt,0.17,2011-06-15,"4,208"
Union Low Duration Fund - Regular Plan,--,--,--,Low to Moderate,Debt,--,--,--
Union Money Market Fund - Regular Plan,1,7.15,22/23,Low to Moderate,Debt,0.89,2021-08-26,179.00
Union Overnight Fund - Regular Plan,3,6.32,23/35,Low,Debt,0.17,2019-03-27,474.00
Union Short Duration Fund - Regular Plan,--,--,--,Moderate,Debt,0.73,2025-01-31,681.00
UTI Banking & PSU Fund - Regular Plan,3,9.04,12/22,Moderate,Debt - Banking,0.54,2014-02-03,800.00
UTI Corporate Bond Fund - Regular Plan,3,9.39,10/21,Moderate,Debt - Bond,0.57,2018-08-08,"5,475"
UTI Credit Risk Fund - Regular Plan,3,8.66,11/14,Moderately High,Debt,1.65,2012-11-19,285.00
UTI CRISIL SDL Maturity April 2033 Index Fund - Regular Plan,--,10.50,24/95,Moderate,Debt,0.41,2022-12-21,352.00
UTI CRISIL SDL Maturity June 2027 Index Fund - Regular Plan,--,9.08,58/95,Low to Moderate,Debt,0.40,2023-01-11,77.00
UTI Dynamic Bond Fund - Regular Plan,3,8.85,8/23,Moderate,Debt - Bond,1.54,2010-06-23,477.00
UTI Floater Fund - Regular Plan,4,7.80,12/12,Low to Moderate,Debt,0.82,2018-10-30,"1,031"
UTI Gilt Fund - Regular Plan,4,8.15,14/32,Moderate,Debt - Govt Instruments,0.92,2002-01-21,670.00
UTI Gilt Fund with 10 year Constant Duration - Regular Plan,--,10.08,7/8,Moderate,Debt,0.69,2022-08-01,176.00
UTI Income Plus Arbitrage Active FoF - Regular Plan,--,--,--,Moderate,Debt,0.50,2025-04-04,124.00
UTI Liquid Fund - Regular Plan,3,7.20,11/45,Moderate,Debt,0.24,2003-12-10,"23,623"
UTI Long Duration Fund - Regular Plan,--,5.51,9/9,Moderate,Debt,1.49,2023-03-17,164.00
UTI Low Duration Fund - Regular Plan,5,8.34,3/20,Moderate,Debt,0.44,2003-03-21,"3,141"
UTI Medium Duration Fund - Regular Plan,2,8.58,12/13,Moderate,Debt,1.49,2015-03-30,41.00
UTI Medium to Long Duration Fund - Regular Plan,4,8.67,6/13,Moderate,Debt,1.62,1998-05-17,334.00
UTI Money Market Fund - Regular Plan,5,8.20,1/23,Moderate,Debt,0.23,2009-07-06,"18,385"
UTI Nifty 10 yr Benchmark G-Sec ETF,--,10.70,4/8,Moderate,Debt,0.26,2024-01-29,23.00
UTI Nifty 5 yr Benchmark G-Sec ETF,--,10.46,6/32,Moderate,Debt - Govt Instruments,0.21,2024-01-29,25.00
UTI Nifty SDL Plus AAA PSU Bond Apr 2026 75:25 Index Fund - Regular Plan,--,8.04,84/95,Low to Moderate,Debt,0.41,2023-02-10,175.00
UTI Nifty SDL Plus AAA PSU Bond Apr 2028 75:25 Index Fund - Regular Plan,--,9.84,38/95,Low to Moderate,Debt,0.40,2023-03-03,34.00
UTI Overnight Fund - Regular Plan,4,6.39,4/35,Low,Debt,0.11,2003-12-09,"3,639"
UTI Short Duration Fund - Regular Plan,4,8.87,18/25,Moderate,Debt,0.81,2007-08-28,"2,822"
UTI Ultra Short Duration Fund - Regular Plan,3,7.36,14/24,Moderate,Debt,0.94,2003-08-29,"4,351"
WhiteOak Capital Liquid Fund - Regular Plan,2,7.09,28/45,Low to Moderate,Debt,0.31,2019-01-16,452.00
WhiteOak Capital Ultra Short Duration Fund - Regular Plan,3,7.07,19/24,Low to Moderate,Debt,1.02,2019-06-06,475.00
Zerodha Nifty 1D Rate Liquid ETF,--,6.14,37/37,Low,Debt,0.27,2024-01-17,"4,594"
360 ONE Balanced Hybrid Fund - Regular Plan,--,5.41,6/6,High,Hybrid,1.95,2023-09-25,860.00
Aditya Birla Sun Life Arbitrage Fund - Regular Plan,3,7.02,5/27,Low,Hybrid,1.03,2009-07-24,"18,204"
Aditya Birla Sun Life Asset Allocator FoF - Regular Plan,3,8.42,21/39,Very High,Hybrid,1.27,2006-08-17,214.00
Aditya Birla Sun Life Balanced Advantage Fund - Regular Plan,4,8.93,5/36,Very High,Hybrid,1.79,2000-04-25,"7,710"
Aditya Birla Sun Life Equity Hybrid '95 Fund - Regular Plan,2,5.61,28/44,Very High,Hybrid - Aggressive,1.84,1995-02-10,"7,465"
Aditya Birla Sun Life Equity Savings Fund - Regular Plan,2,7.67,7/22,Moderate,Hybrid,1.11,2014-11-28,646.00
Aditya Birla Sun Life Financial Planning FoF - Aggressive Plan - Regular Plan,2,6.67,30/39,Very High,Hybrid,1.13,2011-05-09,221.00
Aditya Birla Sun Life Financial Planning FoF - Conservative Plan - Regular Plan,3,8.08,24/39,High,Hybrid,0.94,2011-05-09,16.00
Aditya Birla Sun Life Financial Planning FoF - Moderate Plan - Regular Plan,3,7.75,26/39,High,Hybrid,1.09,2011-05-09,37.00
Aditya Birla Sun Life Multi Asset Allocation Fund - Regular Plan,--,9.57,15/39,Very High,Hybrid,1.83,2023-01-31,"4,074"
Aditya Birla Sun Life Multi - Index FoF - Regular Plan,--,5.07,34/39,Very High,Hybrid,0.61,2022-10-14,19.00
Aditya Birla Sun Life Regular Savings Fund - Regular Plan,4,9.10,4/28,Moderately High,Hybrid,1.92,2004-05-22,"1,385"
Aditya Birla Sun Life Retirement Fund - The 40s Plan - Regular Plan,2,8.37,6/44,Very High,Hybrid - Aggressive,2.38,2019-03-11,115.00
Aditya Birla Sun Life Retirement Fund - The 50s Plan - Regular Plan,2,6.80,18/28,Moderately High,Hybrid,1.93,2019-03-11,26.00
Axis Aggressive Hybrid Fund - Regular Plan,1,7.34,11/44,Very High,Hybrid - Aggressive,2.15,2018-08-09,"1,576"
Axis Arbitrage Fund - Regular Plan,3,6.90,12/27,Low,Hybrid,1.02,2014-08-14,"6,767"
Axis Balanced Advantage Fund - Regular Plan,3,8.69,7/36,Very High,Hybrid,1.94,2017-08-01,"3,161"
Axis Children's - Regular Plan,1,7.46,9/44,Very High,Hybrid - Aggressive,2.29,2015-12-08,908.00
Axis Conservative Hybrid Fund - Regular Plan,2,7.30,11/28,Moderately High,Hybrid,2.19,2010-07-16,283.00
Axis Equity Savings  Fund - Regular Plan,2,6.28,15/22,Moderately High,Hybrid,2.27,2015-08-14,946.00
Axis Multi Asset Allocation Fund - Regular Plan,1,8.14,23/39,Very High,Hybrid,2.08,2010-08-23,"1,436"
Axis Retirement Fund - Aggressive Plan - Regular Plan,1,6.69,16/44,Very High,Hybrid - Aggressive,2.29,2019-12-20,813.00
Axis Retirement Fund - Conservative Plan - Regular Plan,1,6.12,25/28,High,Hybrid,2.15,2019-12-20,61.00
Axis Retirement Fund - Dynamic Plan - Regular Plan,2,6.09,23/36,Very High,Hybrid,2.43,2019-12-20,332.00
Bajaj Finserv Arbitrage Fund - Regular Plan,--,6.42,24/27,Low,Hybrid,1.03,2023-09-15,897.00
Bajaj Finserv Balanced Advantage Fund - Regular Plan,--,3.23,29/36,Very High,Hybrid,2.05,2023-12-15,"1,304"
Bajaj Finserv Multi Asset Allocation Fund - Regular Plan,--,6.44,31/39,Very High,Hybrid,2.03,2024-06-03,"1,176"
Bandhan Aggressive Hybrid Fund - Regular Plan,3,11.72,1/44,Very High,Hybrid - Aggressive,2.29,2016-12-30,904.00
Bandhan Arbitrage Fund - Regular Plan,3,6.98,10/27,Low,Hybrid,1.08,2006-12-21,"9,042"
Bandhan Asset Allocation Fund - Aggressive Plan - Regular Plan,3,6.40,19/44,High,Hybrid - Aggressive,1.22,2010-02-11,19.00
Bandhan Asset Allocation Fund - Conservative Plan - Regular Plan,3,7.35,10/28,Moderately High,Hybrid,0.76,2010-02-11,6.00
Bandhan Asset Allocation Fund - Moderate Plan - Regular Plan,--,7.16,4/6,High,Hybrid,1.03,2010-02-11,19.00
Bandhan Balanced Advantage Fund - Regular Plan,2,6.28,21/36,Moderately High,Hybrid,2.02,2014-10-10,"2,263"
Bandhan Conservative Hybrid Fund - Regular Plan,2,6.14,24/28,Moderately High,Hybrid,2.01,2010-02-25,117.00
Bandhan Equity Savings Fund - Regular Plan,3,6.44,14/22,Low to Moderate,Hybrid,1.10,2008-06-09,303.00
Bandhan Multi Asset Allocation Fund - Regular Plan,--,8.86,19/39,Very High,Hybrid,1.98,2024-01-31,"1,928"
Bandhan Retirement Fund - Regular Plan,--,4.55,33/44,Very High,Hybrid - Aggressive,2.34,2023-10-18,180.00
Bank of India Arbitrage Fund - Regular Plan,1,6.59,23/27,Low,Hybrid,0.94,2018-06-18,43.00
Bank of India Balanced Advantage Fund - Regular Plan,2,0.63,31/36,Very High,Hybrid,2.51,2014-03-14,139.00
Bank of India Conservative Hybrid Fund - Regular Plan,3,3.71,28/28,Moderately High,Hybrid,2.23,2009-03-18,70.00
Bank of India Mid & Small Cap Equity & Debt Fund - Regular Plan,4,1.21,39/44,Very High,Hybrid - Aggressive,2.18,2016-07-20,"1,198"
Bank of India Multi Asset Allocation Fund - Regular Plan,--,4.66,35/39,High,Hybrid,2.04,2024-02-28,356.00
Baroda BNP Paribas Aggressive Hybrid Fund - Regular Plan,3,4.78,32/44,Very High,Hybrid - Aggressive,2.13,2017-04-07,"1,224"
Baroda BNP Paribas Arbitrage Fund - Regular Plan,3,6.68,22/27,Low,Hybrid,1.12,2016-12-28,"1,193"
Baroda BNP Paribas Balanced Advantage Fund - Regular Plan,4,7.62,11/36,Very High,Hybrid,1.89,2018-11-14,"4,304"
Baroda BNP Paribas Conservative Hybrid Fund - Regular Plan,3,6.66,19/28,Moderately High,Hybrid,2.00,2004-09-23,824.00
Baroda BNP Paribas Equity Savings Fund - Regular Plan,3,7.29,8/22,Moderately High,Hybrid,2.50,2019-07-25,268.00
Baroda BNP Paribas Multi Asset Active FoF - Regular Plan,--,--,--,Moderately High,Hybrid,--,2025-05-30,126.00
Baroda BNP Paribas Multi Asset Fund - Regular Plan,--,7.62,27/39,Very High,Hybrid,2.11,2022-12-19,"1,182"
Baroda BNP Paribas Retirement Fund - Regular Plan,--,6.47,18/44,Very High,Hybrid - Aggressive,2.30,2024-05-28,382.00
Canara Robeco Balanced Advantage Fund - Regular Plan,--,--,--,Very High,Hybrid,2.09,2024-08-02,"1,485"
Canara Robeco Conservative Hybrid Fund - Regular Plan,3,7.88,9/28,Moderately High,Hybrid,1.84,2001-04-02,953.00
Canara Robeco Equity Hybrid Fund - Regular Plan,3,7.37,10/44,Very High,Hybrid - Aggressive,1.72,1993-02-01,"10,949"
Canara Robeco Multi Asset Allocation Fund - Regular Plan,--,--,--,Low to Moderate,Hybrid,--,2025-05-30,860.00
DSP Aggressive Hybrid Fund - Regular Plan,4,10.70,3/44,Very High,Hybrid - Aggressive,1.71,1999-05-27,"11,104"
DSP Arbitrage Fund - Regular Plan,3,6.87,13/27,Low,Hybrid,0.99,2018-01-25,"6,474"
DSP Dynamic Asset Allocation Fund - Regular Plan,3,7.74,10/36,Moderately High,Hybrid,1.90,2014-02-06,"3,397"
DSP Equity Savings Fund - Regular Plan,4,9.14,1/22,Moderate,Hybrid,1.24,2016-03-28,"2,995"
DSP Multi Asset Allocation Fund - Regular Plan,--,12.26,4/39,Very High,Hybrid,1.58,2023-09-27,"3,158"
DSP Regular Savings Fund - Regular Plan,3,9.79,1/28,Moderate,Hybrid,1.16,2004-06-11,173.00
Edelweiss Aggressive Hybrid Fund - Regular Plan,4,8.73,5/44,Very High,Hybrid - Aggressive,1.90,2009-08-12,"2,749"
Edelweiss Arbitrage Fund - Regular Plan,4,7.02,6/27,Low,Hybrid,1.06,2014-06-27,"15,137"
Edelweiss Balanced Advantage Fund - Regular Plan,3,4.26,27/36,Very High,Hybrid,1.68,2009-08-20,"12,696"
Edelweiss Equity Savings Fund - Regular Plan,4,8.22,4/22,Moderate,Hybrid,1.60,2014-10-13,639.00
Edelweiss Multi Asset Allocation Fund - Regular Plan,--,8.69,20/39,Low to Moderate,Hybrid,0.72,2023-06-23,"1,735"
Franklin India Arbitrage Fund - Regular Plan,--,--,--,Low,Hybrid,1.01,2024-11-19,314.00
Franklin India Balanced Advantage Fund - Regular Plan,--,6.66,17/36,High,Hybrid,1.94,2022-09-06,"2,671"
Franklin India Debt Hybrid Fund - Regular Plan,3,8.40,8/28,Moderately High,Hybrid,1.41,2000-09-28,204.00
Franklin India Dynamic Asset Allocation Fund of Fund - Regular Plan,4,7.43,12/36,High,Hybrid,2.01,2003-10-31,"1,314"
Franklin India Equity Hybrid Fund - Regular Plan,4,6.92,13/44,Very High,Hybrid - Aggressive,2.07,1999-12-10,"2,187"
Franklin India Equity Savings Fund - Regular Plan,3,6.76,10/22,Low to Moderate,Hybrid,1.12,2018-08-27,678.00
Franklin India Multi Asset Solution Fund of Funds - Regular Plan,4,14.22,2/39,High,Hybrid,2.13,2014-11-28,71.00
Franklin India Pension Fund - Regular Plan,--,7.31,3/6,Moderately High,Hybrid,2.26,1997-03-31,521.00
Groww Aggressive Hybrid Fund - Regular Plan,2,1.19,40/44,Very High,Hybrid - Aggressive,2.38,2018-12-13,47.00
HDFC Arbitrage Fund - Wholesale - Regular Plan,3,7.01,7/27,Low,Hybrid,0.97,2007-10-23,"20,685"
HDFC Balanced Advantage Fund - Regular Plan,5,5.87,24/36,Very High,Hybrid,1.37,1994-02-01,"1,00,299"
HDFC Children's Fund - Regular Plan,5,3.97,35/44,Very High,Hybrid - Aggressive,1.73,2001-03-02,"10,177"
HDFC Equity Savings Fund - Regular Plan,3,5.99,16/22,Moderately High,Hybrid,1.86,2004-09-17,"5,546"
HDFC Hybrid Debt Fund - Regular Plan,4,7.05,15/28,Moderately High,Hybrid,1.72,2003-12-26,"3,406"
HDFC Hybrid Equity Fund - Regular Plan,3,6.17,24/44,Very High,Hybrid - Aggressive,1.69,2000-09-11,"24,461"
HDFC Multi-Asset Active FoF - Regular Plan,4,10.51,12/39,High,Hybrid,1.16,2021-05-05,"4,046"
HDFC Multi Asset Fund - Regular Plan,3,9.27,16/39,High,Hybrid,1.89,2005-08-17,"4,375"
HDFC Retirement Savings Fund - Hybrid Debt Plan - Regular Plan,3,6.46,22/28,Moderately High,Hybrid,2.14,2016-02-26,163.00
HDFC Retirement Savings Fund - Hybrid Equity Plan - Regular Plan,4,4.79,31/44,Very High,Hybrid - Aggressive,2.03,2016-02-25,"1,657"
Helios Balanced Advantage Fund - Regular Plan,--,1.65,30/36,High,Hybrid,2.40,2024-03-27,305.00
HSBC Aggressive Hybrid Active FoF - Regular Plan,3,4.34,34/44,Very High,Hybrid - Aggressive,1.35,2014-04-30,41.00
HSBC Aggressive Hybrid Fund,2,3.04,38/44,Very High,Hybrid - Aggressive,1.86,2011-02-07,"5,396"
HSBC Arbitrage Fund - Regular Plan,3,6.71,20/27,Low,Hybrid,0.91,2014-06-30,"2,272"
HSBC Balanced Advantage Fund,3,6.37,20/36,Moderately High,Hybrid,2.11,2011-02-07,"1,526"
HSBC Conservative Hybrid Fund,3,7.03,16/28,Moderately High,Hybrid,2.17,2004-02-24,160.00
HSBC Equity Savings Fund,4,3.53,22/22,Moderate,Hybrid,1.51,2011-10-18,655.00
HSBC Multi Asset Active FoF - Regular Plan,2,7.45,29/39,High,Hybrid,1.45,2014-04-30,59.00
HSBC Multi Asset Allocation Fund - Regular Plan,--,3.19,37/39,Very High,Hybrid,1.87,2024-02-28,"2,105"
ICICI Prudential Asset Allocator (FOF) Fund,4,10.49,13/39,High,Hybrid,1.27,2003-12-18,"26,071"
ICICI Prudential Balanced Advantage Fund,4,9.63,3/36,High,Hybrid,1.45,2006-12-30,"63,787"
ICICI Prudential Child Care Fund - Gift Plan,4,6.13,26/44,Very High,Hybrid - Aggressive,2.19,2001-08-31,"1,343"
ICICI Prudential Equity Arbitrage Fund,4,7.13,3/27,Low,Hybrid,0.95,2006-12-30,"28,444"
ICICI Prudential Equity & Debt Fund,5,10.09,4/44,Very High,Hybrid - Aggressive,1.57,1999-11-03,"43,159"
ICICI Prudential Equity Savings Fund,5,8.60,2/22,Low to Moderate,Hybrid,0.98,2014-12-05,"13,555"
ICICI Prudential Multi Asset Fund,5,11.62,5/39,Very High,Hybrid,1.40,2002-10-31,"59,452"
ICICI Prudential Passive Multi-Asset FoF,3,12.44,3/39,High,Hybrid,0.59,2022-01-14,"1,144"
ICICI Prudential Regular Savings Fund,4,8.95,5/28,High,Hybrid,1.72,2004-03-30,"3,188"
ICICI Prudential Retirement Fund - Hybrid Aggressive Plan,4,5.04,30/44,Very High,Hybrid - Aggressive,2.24,2019-02-27,831.00
ICICI Prudential Retirement Fund - Hybrid Conservative Plan,3,7.24,12/28,Moderately High,Hybrid,2.10,2019-02-27,82.00
Invesco India Aggressive Hybrid Fund - Regular Plan,3,6.82,14/44,Very High,Hybrid - Aggressive,2.33,2018-06-30,704.00
Invesco India Arbitrage Fund,5,7.01,8/27,Low,Hybrid,1.06,2007-04-30,"22,341"
Invesco India Balanced Advantage Fund,3,6.69,15/36,Very High,Hybrid,2.13,2007-10-04,978.00
Invesco India Equity Savings Fund - Regular Plan,2,5.82,17/22,Moderately High,Hybrid,2.30,2019-03-07,414.00
Invesco India Multi Asset Allocation Fund - Regular Plan,--,--,--,Very High,Hybrid,1.86,2024-12-17,378.00
ITI Arbitrage Fund - Regular Plan,1,6.95,11/27,Low,Hybrid,0.93,2019-09-09,48.00
ITI Balanced Advantage Fund - Regular Plan,2,6.83,14/36,Very High,Hybrid,2.37,2019-12-31,395.00
JM Aggressive Hybrid Fund,5,-1.67,42/44,Very High,Hybrid - Aggressive,2.22,1995-04-01,822.00
JM Arbitrage Fund,2,6.40,25/27,Low,Hybrid,1.06,2006-07-18,195.00
Kotak Balanced Advantage Fund - Regular Plan,4,7.99,9/36,Very High,Hybrid,1.66,2018-08-03,"17,343"
Kotak Debt Hybrid Fund - Regular Plan,4,6.61,20/28,Moderately High,Hybrid,1.66,2003-12-02,"3,129"
Kotak Equity Arbitrage Fund - Regular Plan,5,7.14,2/27,Low,Hybrid,1.05,2005-09-29,"67,362"
Kotak Equity Hybrid Fund - Regular Plan,4,6.18,23/44,Very High,Hybrid - Aggressive,1.76,1999-11-25,"7,413"
Kotak Equity Savings Fund - Regular Plan,4,5.62,18/22,Moderately High,Hybrid,1.76,2014-10-13,"8,254"
Kotak Multi Asset Allocation Fund - Regular Plan,--,4.20,36/39,Very High,Hybrid,1.74,2023-09-22,"7,947"
Kotak Multi Asset Allocator FoF - Dynamic Regular Plan,4,7.77,25/39,Very High,Hybrid,0.99,2004-08-09,"1,799"
LIC MF Aggressive Hybrid Fund,2,5.34,29/44,Very High,Hybrid - Aggressive,2.48,1992-03-31,530.00
LIC MF Arbitrage Fund - Regular Plan,2,6.70,21/27,Low,Hybrid,0.99,2019-01-25,168.00
LIC MF Balanced Advantage Fund - Regular Plan,3,9.31,4/36,Very High,Hybrid,2.27,2021-11-12,831.00
LIC MF Conservative Hybrid Fund,1,7.14,14/28,Moderately High,Hybrid,2.25,1998-06-01,51.00
LIC MF Equity Savings Fund,1,8.18,5/22,Moderate,Hybrid,2.35,2011-03-07,22.00
LIC MF Multi Asset Allocation Fund - Regular Plan,--,--,--,Very High,Hybrid,2.25,2025-02-14,577.00
LIC MF Unit Linked Insurance,2,6.38,20/44,Very High,Hybrid - Aggressive,2.37,1989-06-19,493.00
Mahindra Manulife Aggressive Hybrid Fund - Regular Plan,4,8.16,7/44,Very High,Hybrid - Aggressive,2.03,2019-07-19,"1,705"
Mahindra Manulife Arbitrage Fund - Regular Plan,1,5.59,27/27,Low,Hybrid,1.22,2020-08-24,97.00
Mahindra Manulife Balanced Advantage Fund - Regular Plan,3,5.14,25/36,Very High,Hybrid,2.22,2021-12-30,905.00
Mahindra Manulife Equity Savings Fund - Regular Plan,2,4.96,20/22,Moderately High,Hybrid,2.36,2017-02-01,570.00
Mahindra Manulife Multi Asset Allocation Fund - Regular Plan,--,9.12,17/39,Very High,Hybrid,2.04,2024-03-13,600.00
Mirae Asset Aggressive Hybrid Fund - Regular Plan,3,6.67,17/44,Very High,Hybrid - Aggressive,1.72,2015-07-29,"9,058"
Mirae Asset Arbitrage Fund - Regular Plan,3,6.75,18/27,Low,Hybrid,0.93,2020-06-19,"3,364"
Mirae Asset Balanced Advantage Fund - Regular Plan,--,7.17,13/36,Very High,Hybrid,2.06,2022-08-11,"1,854"
Mirae Asset Equity Savings Fund - Regular Plan,3,8.42,3/22,Moderately High,Hybrid,1.37,2018-12-17,"1,442"
Mirae Asset Multi Asset Allocation Fund - Regular Plan,--,10.92,9/39,Very High,Hybrid,1.98,2024-01-31,"1,991"
Motilal Oswal Arbitrage Fund - Regular Plan,--,--,--,Low,Hybrid,1.00,2024-12-23,720.00
Motilal Oswal Asset Allocation Passive FoF - Aggressive - Regular Plan,2,9.88,14/39,Very High,Hybrid,0.51,2021-03-12,81.00
Motilal Oswal Asset Allocation Passive FoF - Conservative - Regular Plan,3,10.75,10/39,High,Hybrid,0.49,2021-03-12,46.00
Motilal Oswal Balanced Advantage Fund - Regular Plan,1,-9.29,36/36,Very High,Hybrid,2.27,2016-09-27,923.00
Motilal Oswal Multi Asset Fund - Regular Plan,1,-9.21,39/39,High,Hybrid,2.04,2020-08-04,94.00
Navi Aggressive Hybrid Fund - Regular Plan,2,3.74,36/44,Very High,Hybrid - Aggressive,2.28,2018-04-30,121.00
Nippon India Arbitrage Fund,3,6.79,16/27,Low,Hybrid,1.07,2010-10-14,"14,511"
Nippon India Balanced Advantage Fund,4,6.51,18/36,Very High,Hybrid,1.74,2004-11-15,"9,190"
Nippon India Equity Hybrid Fund,4,6.20,21/44,Very High,Hybrid - Aggressive,1.97,2005-06-08,"3,897"
Nippon India Equity Savings Fund,3,5.28,19/22,Moderate,Hybrid,1.75,2015-05-30,720.00
Nippon India Hybrid Bond Fund,3,8.59,6/28,High,Hybrid,1.88,2003-12-29,886.00
Nippon India Multi Asset Active FoF - Regular Plan,5,11.32,6/39,Very High,Hybrid,1.16,2021-02-08,598.00
Nippon India Multi Asset Allocation Fund - Regular Plan,3,10.68,11/39,Very High,Hybrid,1.45,2020-08-28,"5,981"
Nippon India Retirement Fund - Income Generation Scheme,2,6.50,21/28,Moderately High,Hybrid,2.08,2015-02-11,157.00
NJ Arbitrage Fund - Regular Plan,--,6.09,26/27,Low,Hybrid,1.00,2022-08-01,260.00
NJ Balanced Advantage Fund - Regular Plan,2,0.52,32/36,Very High,Hybrid,1.89,2021-10-29,"3,789"
Parag Parikh Arbitrage Fund - Regular Plan,--,6.83,14/27,Low,Hybrid,0.66,2023-11-02,"1,580"
Parag Parikh Conservative Hybrid Fund - Regular Plan,5,9.29,3/28,Moderately High,Hybrid,0.64,2021-05-26,"2,665"
Parag Parikh Dynamic Asset Allocation Fund - Regular Plan,--,8.13,8/36,Moderate,Hybrid,0.63,2024-02-27,"2,105"
PGIM India Aggressive Hybrid Equity Fund,2,6.15,25/44,Very High,Hybrid - Aggressive,2.33,2004-02-05,214.00
PGIM India Arbitrage Fund - Regular Plan,2,6.78,17/27,Low,Hybrid,1.07,2014-08-27,125.00
PGIM India Balanced Advantage Fund - Regular Plan,1,6.39,19/36,Very High,Hybrid,2.19,2021-02-04,976.00
PGIM India Equity Savings Fund,3,6.44,13/22,Low to Moderate,Hybrid,1.32,2004-01-29,72.00
Quant Absolute Fund,3,-2.64,44/44,Very High,Hybrid - Aggressive,2.02,2001-03-21,"2,102"
Quant Arbitrage Fund - Regular Plan,--,--,--,Low,Hybrid,0.89,2025-04-04,103.00
Quant Dynamic Asset Allocation Fund - Regular Plan,--,-2.01,33/36,Very High,Hybrid,2.13,2023-04-12,"1,247"
Quant Multi Asset Fund,4,5.42,33/39,High,Hybrid,1.88,2001-03-21,"3,416"
Quantum Multi Asset Allocation Fund - Regular Plan,--,8.92,18/39,High,Hybrid,1.96,2024-03-07,35.00
Quantum Multi Asset Fund of Funds - Regular Plan,3,11.29,7/39,High,Hybrid,0.47,2012-07-11,66.00
Samco Arbitrage Fund - Regular Plan,--,--,--,Low,Hybrid,1.63,2024-11-27,38.00
Samco Dynamic Asset Allocation Fund - Regular Plan,--,-3.45,34/36,Very High,Hybrid,2.41,2023-12-28,453.00
Samco Multi Asset Allocation Fund - Regular Plan,--,--,--,Very High,Hybrid,2.21,2024-12-24,279.00
SBI Arbitrage Opportunities Fund,4,7.08,4/27,Low,Hybrid,0.90,2006-11-03,"33,759"
SBI Balanced Advantage Fund - Regular Plan,5,6.66,16/36,Very High,Hybrid,1.57,2021-08-31,"35,566"
SBI Conservative Hybrid Fund,5,6.82,17/28,High,Hybrid,1.54,2001-03-24,"9,643"
SBI Equity Hybrid Fund,3,11.46,2/44,Very High,Hybrid - Aggressive,1.39,1995-12-31,"75,639"
SBI Equity Savings Fund - Regular Plan,4,6.63,12/22,High,Hybrid,1.44,2015-05-27,"5,431"
SBI Magnum Children's Benefit Fund - Investment Plan - Regular Plan,5,7.94,8/44,Very High,Hybrid - Aggressive,1.87,2020-09-29,"3,589"
SBI Magnum Children's Benefit Fund - Savings Plan,5,9.75,2/28,Moderately High,Hybrid,1.21,2002-02-20,127.00
