Funds,Rating,1 Yr Ret (%),1 Yr Rank,Riskometer,Category,Expense Ratio (%),Launch,Net Assets (Cr)
Tata Money Market Fund - Regular Plan,4,8.13,Jun-23,Moderate,Debt,0.4,21-05-2003,"31,975"
Tata Nifty G-Sec Dec 2026 Index Fund - Regular Plan,--,8.42,77/95,Low to Moderate,Debt,0.44,16-01-2023,93
Tata Nifty G-Sec Dec 2029 Index Fund - Regular Plan,--,10.13,33/95,Moderate,Debt,0.45,13-01-2023,185
Tata Nifty SDL Plus AAA PSU Bond Dec 2027 60:40 Index Fund - Regular Plan,--,9.38,46/95,Low to Moderate,Debt,0.46,30-03-2022,869
Tata Overnight Fund - Regular Plan,3,6.35,15/35,Low,Debt,0.18,27-03-2019,"2,724"
Tata Short Term Bond Fund - Regular Plan,3,8.45,23/25,Moderate,Debt,1.18,08-08-2002,"3,269"
Tata Treasury Advantage Fund - Regular Plan,4,8,May-20,Low to Moderate,Debt,0.57,06-09-2005,"3,127"
Tata Ultra Short Term Fund - Regular Plan,3,7.22,15/24,Moderate,Debt,1.14,22-01-2019,"4,684"
TRUSTMF Banking & PSU Fund - Regular Plan,3,8.66,20/22,Moderate,Debt - Banking,0.71,01-02-2021,110
TRUSTMF Corporate Bond Fund - Regular Plan,1,8.62,20/21,Moderate,Debt - Bond,0.65,20-01-2023,43
TRUSTMF Liquid Fund - Regular Plan,2,7.06,29/45,Low to Moderate,Debt,0.25,23-04-2021,764
TRUSTMF Money Market Fund - Regular Plan,3,7.76,17/23,Low to Moderate,Debt,0.46,17-08-2022,110
TRUSTMF Overnight Fund - Regular Plan,4,6.36,14/35,Low,Debt,0.12,19-01-2022,79
TRUSTMF Short Duration Fund - Regular Plan,3,8.92,15/25,Moderate,Debt,0.73,06-08-2021,113
Unifi Liquid Fund - Regular Plan,--,--,--,Low to Moderate,Debt,--,11-06-2025,--
Union Corporate Bond Fund - Regular Plan,2,9.65,May-21,Moderate,Debt - Bond,0.7,25-05-2018,337
Union Dynamic Bond Fund,2,7.88,18/23,Moderate,Debt - Bond,1.55,13-02-2012,109
Union Gilt Fund - Regular Plan,3,7.06,25/32,Moderate,Debt - Govt Instruments,1.12,08-08-2022,100
Union Income Plus Arbitrage Active FoF - Regular Plan,--,--,--,Low to Moderate,Debt,--,12-06-2025,--
Union Liquid Fund,4,7.21,Oct-45,Low to Moderate,Debt,0.17,15-06-2011,"4,208"
Union Low Duration Fund - Regular Plan,--,--,--,Low to Moderate,Debt,--,--,--
Union Money Market Fund - Regular Plan,1,7.15,22/23,Low to Moderate,Debt,0.89,26-08-2021,179
Union Overnight Fund - Regular Plan,3,6.32,23/35,Low,Debt,0.17,27-03-2019,474
Union Short Duration Fund - Regular Plan,--,--,--,Moderate,Debt,0.73,31-01-2025,681
UTI Banking & PSU Fund - Regular Plan,3,9.04,Dec-22,Moderate,Debt - Banking,0.54,03-02-2014,800
UTI Corporate Bond Fund - Regular Plan,3,9.39,Oct-21,Moderate,Debt - Bond,0.57,08-08-2018,"5,475"
UTI Credit Risk Fund - Regular Plan,3,8.66,Nov-14,Moderately High,Debt,1.65,19-11-2012,285
UTI CRISIL SDL Maturity April 2033 Index Fund - Regular Plan,--,10.5,24/95,Moderate,Debt,0.41,21-12-2022,352
UTI CRISIL SDL Maturity June 2027 Index Fund - Regular Plan,--,9.08,58/95,Low to Moderate,Debt,0.4,11-01-2023,77
UTI Dynamic Bond Fund - Regular Plan,3,8.85,Aug-23,Moderate,Debt - Bond,1.54,23-06-2010,477
UTI Floater Fund - Regular Plan,4,7.8,12-Dec,Low to Moderate,Debt,0.82,30-10-2018,"1,031"
UTI Gilt Fund - Regular Plan,4,8.15,14/32,Moderate,Debt - Govt Instruments,0.92,21-01-2002,670
UTI Gilt Fund with 10 year Constant Duration - Regular Plan,--,10.08,07-Aug,Moderate,Debt,0.69,01-08-2022,176
UTI Income Plus Arbitrage Active FoF - Regular Plan,--,--,--,Moderate,Debt,0.5,04-04-2025,124
UTI Liquid Fund - Regular Plan,3,7.2,Nov-45,Moderate,Debt,0.24,10-12-2003,"23,623"
UTI Long Duration Fund - Regular Plan,--,5.51,09-Sep,Moderate,Debt,1.49,17-03-2023,164
UTI Low Duration Fund - Regular Plan,5,8.34,Mar-20,Moderate,Debt,0.44,21-03-2003,"3,141"
UTI Medium Duration Fund - Regular Plan,2,8.58,Dec-13,Moderate,Debt,1.49,30-03-2015,41
UTI Medium to Long Duration Fund - Regular Plan,4,8.67,Jun-13,Moderate,Debt,1.62,17-05-1998,334
UTI Money Market Fund - Regular Plan,5,8.2,Jan-23,Moderate,Debt,0.23,06-07-2009,"18,385"
UTI Nifty 10 yr Benchmark G-Sec ETF,--,10.7,04-Aug,Moderate,Debt,0.26,29-01-2024,23
UTI Nifty 5 yr Benchmark G-Sec ETF,--,10.46,Jun-32,Moderate,Debt - Govt Instruments,0.21,29-01-2024,25
UTI Nifty SDL Plus AAA PSU Bond Apr 2026 75:25 Index Fund - Regular Plan,--,8.04,84/95,Low to Moderate,Debt,0.41,10-02-2023,175
UTI Nifty SDL Plus AAA PSU Bond Apr 2028 75:25 Index Fund - Regular Plan,--,9.84,38/95,Low to Moderate,Debt,0.4,03-03-2023,34
UTI Overnight Fund - Regular Plan,4,6.39,Apr-35,Low,Debt,0.11,09-12-2003,"3,639"
UTI Short Duration Fund - Regular Plan,4,8.87,18/25,Moderate,Debt,0.81,28-08-2007,"2,822"
UTI Ultra Short Duration Fund - Regular Plan,3,7.36,14/24,Moderate,Debt,0.94,29-08-2003,"4,351"
WhiteOak Capital Liquid Fund - Regular Plan,2,7.09,28/45,Low to Moderate,Debt,0.31,16-01-2019,452
WhiteOak Capital Ultra Short Duration Fund - Regular Plan,3,7.07,19/24,Low to Moderate,Debt,1.02,06-06-2019,475
Zerodha Nifty 1D Rate Liquid ETF,--,6.14,37/37,Low,Debt,0.27,17-01-2024,"4,594"
360 ONE Balanced Hybrid Fund - Regular Plan,--,5.41,06-Jun,High,Hybrid,1.95,25-09-2023,860
Aditya Birla Sun Life Arbitrage Fund - Regular Plan,3,7.02,May-27,Low,Hybrid,1.03,24-07-2009,"18,204"
Aditya Birla Sun Life Asset Allocator FoF - Regular Plan,3,8.42,21/39,Very High,Hybrid,1.27,17-08-2006,214
Aditya Birla Sun Life Balanced Advantage Fund - Regular Plan,4,8.93,May-36,Very High,Hybrid,1.79,25-04-2000,"7,710"
Aditya Birla Sun Life Equity Hybrid '95 Fund - Regular Plan,2,5.61,28/44,Very High,Hybrid - Aggressive,1.84,10-02-1995,"7,465"
Aditya Birla Sun Life Equity Savings Fund - Regular Plan,2,7.67,Jul-22,Moderate,Hybrid,1.11,28-11-2014,646
Aditya Birla Sun Life Financial Planning FoF - Aggressive Plan - Regular Plan,2,6.67,30/39,Very High,Hybrid,1.13,09-05-2011,221
Aditya Birla Sun Life Financial Planning FoF - Conservative Plan - Regular Plan,3,8.08,24/39,High,Hybrid,0.94,09-05-2011,16
Aditya Birla Sun Life Financial Planning FoF - Moderate Plan - Regular Plan,3,7.75,26/39,High,Hybrid,1.09,09-05-2011,37
Aditya Birla Sun Life Multi Asset Allocation Fund - Regular Plan,--,9.57,15/39,Very High,Hybrid,1.83,31-01-2023,"4,074"
Aditya Birla Sun Life Multi - Index FoF - Regular Plan,--,5.07,34/39,Very High,Hybrid,0.61,14-10-2022,19
Aditya Birla Sun Life Regular Savings Fund - Regular Plan,4,9.1,Apr-28,Moderately High,Hybrid,1.92,22-05-2004,"1,385"
Aditya Birla Sun Life Retirement Fund - The 40s Plan - Regular Plan,2,8.37,Jun-44,Very High,Hybrid - Aggressive,2.38,11-03-2019,115
Aditya Birla Sun Life Retirement Fund - The 50s Plan - Regular Plan,2,6.8,18/28,Moderately High,Hybrid,1.93,11-03-2019,26
Axis Aggressive Hybrid Fund - Regular Plan,1,7.34,Nov-44,Very High,Hybrid - Aggressive,2.15,09-08-2018,"1,576"
Axis Arbitrage Fund - Regular Plan,3,6.9,Dec-27,Low,Hybrid,1.02,14-08-2014,"6,767"
Axis Balanced Advantage Fund - Regular Plan,3,8.69,Jul-36,Very High,Hybrid,1.94,01-08-2017,"3,161"
Axis Children's - Regular Plan,1,7.46,Sep-44,Very High,Hybrid - Aggressive,2.29,08-12-2015,908
Axis Conservative Hybrid Fund - Regular Plan,2,7.3,Nov-28,Moderately High,Hybrid,2.19,16-07-2010,283
Axis Equity Savings  Fund - Regular Plan,2,6.28,15/22,Moderately High,Hybrid,2.27,14-08-2015,946
Axis Multi Asset Allocation Fund - Regular Plan,1,8.14,23/39,Very High,Hybrid,2.08,23-08-2010,"1,436"
Axis Retirement Fund - Aggressive Plan - Regular Plan,1,6.69,16/44,Very High,Hybrid - Aggressive,2.29,20-12-2019,813
Axis Retirement Fund - Conservative Plan - Regular Plan,1,6.12,25/28,High,Hybrid,2.15,20-12-2019,61
Axis Retirement Fund - Dynamic Plan - Regular Plan,2,6.09,23/36,Very High,Hybrid,2.43,20-12-2019,332
Bajaj Finserv Arbitrage Fund - Regular Plan,--,6.42,24/27,Low,Hybrid,1.03,15-09-2023,897
Bajaj Finserv Balanced Advantage Fund - Regular Plan,--,3.23,29/36,Very High,Hybrid,2.05,15-12-2023,"1,304"
Bajaj Finserv Multi Asset Allocation Fund - Regular Plan,--,6.44,31/39,Very High,Hybrid,2.03,03-06-2024,"1,176"
Bandhan Aggressive Hybrid Fund - Regular Plan,3,11.72,Jan-44,Very High,Hybrid - Aggressive,2.29,30-12-2016,904
Bandhan Arbitrage Fund - Regular Plan,3,6.98,Oct-27,Low,Hybrid,1.08,21-12-2006,"9,042"
Bandhan Asset Allocation Fund - Aggressive Plan - Regular Plan,3,6.4,19/44,High,Hybrid - Aggressive,1.22,11-02-2010,19
Bandhan Asset Allocation Fund - Conservative Plan - Regular Plan,3,7.35,Oct-28,Moderately High,Hybrid,0.76,11-02-2010,6
Bandhan Asset Allocation Fund - Moderate Plan - Regular Plan,--,7.16,04-Jun,High,Hybrid,1.03,11-02-2010,19
Bandhan Balanced Advantage Fund - Regular Plan,2,6.28,21/36,Moderately High,Hybrid,2.02,10-10-2014,"2,263"
Bandhan Conservative Hybrid Fund - Regular Plan,2,6.14,24/28,Moderately High,Hybrid,2.01,25-02-2010,117
Bandhan Equity Savings Fund - Regular Plan,3,6.44,14/22,Low to Moderate,Hybrid,1.1,09-06-2008,303
Bandhan Multi Asset Allocation Fund - Regular Plan,--,8.86,19/39,Very High,Hybrid,1.98,31-01-2024,"1,928"
Bandhan Retirement Fund - Regular Plan,--,4.55,33/44,Very High,Hybrid - Aggressive,2.34,18-10-2023,180
Bank of India Arbitrage Fund - Regular Plan,1,6.59,23/27,Low,Hybrid,0.94,18-06-2018,43
Bank of India Balanced Advantage Fund - Regular Plan,2,0.63,31/36,Very High,Hybrid,2.51,14-03-2014,139
Bank of India Conservative Hybrid Fund - Regular Plan,3,3.71,28/28,Moderately High,Hybrid,2.23,18-03-2009,70
Bank of India Mid & Small Cap Equity & Debt Fund - Regular Plan,4,1.21,39/44,Very High,Hybrid - Aggressive,2.18,20-07-2016,"1,198"
Bank of India Multi Asset Allocation Fund - Regular Plan,--,4.66,35/39,High,Hybrid,2.04,28-02-2024,356
Baroda BNP Paribas Aggressive Hybrid Fund - Regular Plan,3,4.78,32/44,Very High,Hybrid - Aggressive,2.13,07-04-2017,"1,224"
Baroda BNP Paribas Arbitrage Fund - Regular Plan,3,6.68,22/27,Low,Hybrid,1.12,28-12-2016,"1,193"
Baroda BNP Paribas Balanced Advantage Fund - Regular Plan,4,7.62,Nov-36,Very High,Hybrid,1.89,14-11-2018,"4,304"
Baroda BNP Paribas Conservative Hybrid Fund - Regular Plan,3,6.66,19/28,Moderately High,Hybrid,2,23-09-2004,824
Baroda BNP Paribas Equity Savings Fund - Regular Plan,3,7.29,Aug-22,Moderately High,Hybrid,2.5,25-07-2019,268
Baroda BNP Paribas Multi Asset Active FoF - Regular Plan,--,--,--,Moderately High,Hybrid,--,30-05-2025,126
Baroda BNP Paribas Multi Asset Fund - Regular Plan,--,7.62,27/39,Very High,Hybrid,2.11,19-12-2022,"1,182"
Baroda BNP Paribas Retirement Fund - Regular Plan,--,6.47,18/44,Very High,Hybrid - Aggressive,2.3,28-05-2024,382
Canara Robeco Balanced Advantage Fund - Regular Plan,--,--,--,Very High,Hybrid,2.09,02-08-2024,"1,485"
Canara Robeco Conservative Hybrid Fund - Regular Plan,3,7.88,Sep-28,Moderately High,Hybrid,1.84,02-04-2001,953
Canara Robeco Equity Hybrid Fund - Regular Plan,3,7.37,Oct-44,Very High,Hybrid - Aggressive,1.72,01-02-1993,"10,949"
Canara Robeco Multi Asset Allocation Fund - Regular Plan,--,--,--,Low to Moderate,Hybrid,--,30-05-2025,860
DSP Aggressive Hybrid Fund - Regular Plan,4,10.7,Mar-44,Very High,Hybrid - Aggressive,1.71,27-05-1999,"11,104"
DSP Arbitrage Fund - Regular Plan,3,6.87,13/27,Low,Hybrid,0.99,25-01-2018,"6,474"
DSP Dynamic Asset Allocation Fund - Regular Plan,3,7.74,Oct-36,Moderately High,Hybrid,1.9,06-02-2014,"3,397"
DSP Equity Savings Fund - Regular Plan,4,9.14,Jan-22,Moderate,Hybrid,1.24,28-03-2016,"2,995"
DSP Multi Asset Allocation Fund - Regular Plan,--,12.26,Apr-39,Very High,Hybrid,1.58,27-09-2023,"3,158"
DSP Regular Savings Fund - Regular Plan,3,9.79,Jan-28,Moderate,Hybrid,1.16,11-06-2004,173
Edelweiss Aggressive Hybrid Fund - Regular Plan,4,8.73,May-44,Very High,Hybrid - Aggressive,1.9,12-08-2009,"2,749"
Edelweiss Arbitrage Fund - Regular Plan,4,7.02,Jun-27,Low,Hybrid,1.06,27-06-2014,"15,137"
Edelweiss Balanced Advantage Fund - Regular Plan,3,4.26,27/36,Very High,Hybrid,1.68,20-08-2009,"12,696"
Edelweiss Equity Savings Fund - Regular Plan,4,8.22,Apr-22,Moderate,Hybrid,1.6,13-10-2014,639
Edelweiss Multi Asset Allocation Fund - Regular Plan,--,8.69,20/39,Low to Moderate,Hybrid,0.72,23-06-2023,"1,735"
Franklin India Arbitrage Fund - Regular Plan,--,--,--,Low,Hybrid,1.01,19-11-2024,314
Franklin India Balanced Advantage Fund - Regular Plan,--,6.66,17/36,High,Hybrid,1.94,06-09-2022,"2,671"
Franklin India Debt Hybrid Fund - Regular Plan,3,8.4,Aug-28,Moderately High,Hybrid,1.41,28-09-2000,204
Franklin India Dynamic Asset Allocation Fund of Fund - Regular Plan,4,7.43,Dec-36,High,Hybrid,2.01,31-10-2003,"1,314"
Franklin India Equity Hybrid Fund - Regular Plan,4,6.92,13/44,Very High,Hybrid - Aggressive,2.07,10-12-1999,"2,187"
Franklin India Equity Savings Fund - Regular Plan,3,6.76,Oct-22,Low to Moderate,Hybrid,1.12,27-08-2018,678
Franklin India Multi Asset Solution Fund of Funds - Regular Plan,4,14.22,Feb-39,High,Hybrid,2.13,28-11-2014,71
Franklin India Pension Fund - Regular Plan,--,7.31,03-Jun,Moderately High,Hybrid,2.26,31-03-1997,521
Groww Aggressive Hybrid Fund - Regular Plan,2,1.19,40/44,Very High,Hybrid - Aggressive,2.38,13-12-2018,47
HDFC Arbitrage Fund - Wholesale - Regular Plan,3,7.01,Jul-27,Low,Hybrid,0.97,23-10-2007,"20,685"
HDFC Balanced Advantage Fund - Regular Plan,5,5.87,24/36,Very High,Hybrid,1.37,01-02-1994,"1,00,299"
HDFC Children's Fund - Regular Plan,5,3.97,35/44,Very High,Hybrid - Aggressive,1.73,02-03-2001,"10,177"
HDFC Equity Savings Fund - Regular Plan,3,5.99,16/22,Moderately High,Hybrid,1.86,17-09-2004,"5,546"
HDFC Hybrid Debt Fund - Regular Plan,4,7.05,15/28,Moderately High,Hybrid,1.72,26-12-2003,"3,406"
HDFC Hybrid Equity Fund - Regular Plan,3,6.17,24/44,Very High,Hybrid - Aggressive,1.69,11-09-2000,"24,461"
HDFC Multi-Asset Active FoF - Regular Plan,4,10.51,Dec-39,High,Hybrid,1.16,05-05-2021,"4,046"
HDFC Multi Asset Fund - Regular Plan,3,9.27,16/39,High,Hybrid,1.89,17-08-2005,"4,375"
HDFC Retirement Savings Fund - Hybrid Debt Plan - Regular Plan,3,6.46,22/28,Moderately High,Hybrid,2.14,26-02-2016,163
HDFC Retirement Savings Fund - Hybrid Equity Plan - Regular Plan,4,4.79,31/44,Very High,Hybrid - Aggressive,2.03,25-02-2016,"1,657"
Helios Balanced Advantage Fund - Regular Plan,--,1.65,30/36,High,Hybrid,2.4,27-03-2024,305
HSBC Aggressive Hybrid Active FoF - Regular Plan,3,4.34,34/44,Very High,Hybrid - Aggressive,1.35,30-04-2014,41
HSBC Aggressive Hybrid Fund,2,3.04,38/44,Very High,Hybrid - Aggressive,1.86,07-02-2011,"5,396"
HSBC Arbitrage Fund - Regular Plan,3,6.71,20/27,Low,Hybrid,0.91,30-06-2014,"2,272"
HSBC Balanced Advantage Fund,3,6.37,20/36,Moderately High,Hybrid,2.11,07-02-2011,"1,526"
HSBC Conservative Hybrid Fund,3,7.03,16/28,Moderately High,Hybrid,2.17,24-02-2004,160
HSBC Equity Savings Fund,4,3.53,22/22,Moderate,Hybrid,1.51,18-10-2011,655
HSBC Multi Asset Active FoF - Regular Plan,2,7.45,29/39,High,Hybrid,1.45,30-04-2014,59
HSBC Multi Asset Allocation Fund - Regular Plan,--,3.19,37/39,Very High,Hybrid,1.87,28-02-2024,"2,105"
ICICI Prudential Asset Allocator (FOF) Fund,4,10.49,13/39,High,Hybrid,1.27,18-12-2003,"26,071"
ICICI Prudential Balanced Advantage Fund,4,9.63,Mar-36,High,Hybrid,1.45,30-12-2006,"63,787"
ICICI Prudential Child Care Fund - Gift Plan,4,6.13,26/44,Very High,Hybrid - Aggressive,2.19,31-08-2001,"1,343"
ICICI Prudential Equity Arbitrage Fund,4,7.13,Mar-27,Low,Hybrid,0.95,30-12-2006,"28,444"
ICICI Prudential Equity & Debt Fund,5,10.09,Apr-44,Very High,Hybrid - Aggressive,1.57,03-11-1999,"43,159"
ICICI Prudential Equity Savings Fund,5,8.6,Feb-22,Low to Moderate,Hybrid,0.98,05-12-2014,"13,555"
ICICI Prudential Multi Asset Fund,5,11.62,May-39,Very High,Hybrid,1.4,31-10-2002,"59,452"
ICICI Prudential Passive Multi-Asset FoF,3,12.44,Mar-39,High,Hybrid,0.59,14-01-2022,"1,144"
ICICI Prudential Regular Savings Fund,4,8.95,May-28,High,Hybrid,1.72,30-03-2004,"3,188"
ICICI Prudential Retirement Fund - Hybrid Aggressive Plan,4,5.04,30/44,Very High,Hybrid - Aggressive,2.24,27-02-2019,831
ICICI Prudential Retirement Fund - Hybrid Conservative Plan,3,7.24,Dec-28,Moderately High,Hybrid,2.1,27-02-2019,82
Invesco India Aggressive Hybrid Fund - Regular Plan,3,6.82,14/44,Very High,Hybrid - Aggressive,2.33,30-06-2018,704
Invesco India Arbitrage Fund,5,7.01,Aug-27,Low,Hybrid,1.06,30-04-2007,"22,341"
Invesco India Balanced Advantage Fund,3,6.69,15/36,Very High,Hybrid,2.13,04-10-2007,978
Invesco India Equity Savings Fund - Regular Plan,2,5.82,17/22,Moderately High,Hybrid,2.3,07-03-2019,414
Invesco India Multi Asset Allocation Fund - Regular Plan,--,--,--,Very High,Hybrid,1.86,17-12-2024,378
ITI Arbitrage Fund - Regular Plan,1,6.95,Nov-27,Low,Hybrid,0.93,09-09-2019,48
ITI Balanced Advantage Fund - Regular Plan,2,6.83,14/36,Very High,Hybrid,2.37,31-12-2019,395
JM Aggressive Hybrid Fund,5,-1.67,42/44,Very High,Hybrid - Aggressive,2.22,01-04-1995,822
JM Arbitrage Fund,2,6.4,25/27,Low,Hybrid,1.06,18-07-2006,195
Kotak Balanced Advantage Fund - Regular Plan,4,7.99,Sep-36,Very High,Hybrid,1.66,03-08-2018,"17,343"
Kotak Debt Hybrid Fund - Regular Plan,4,6.61,20/28,Moderately High,Hybrid,1.66,02-12-2003,"3,129"
Kotak Equity Arbitrage Fund - Regular Plan,5,7.14,Feb-27,Low,Hybrid,1.05,29-09-2005,"67,362"
Kotak Equity Hybrid Fund - Regular Plan,4,6.18,23/44,Very High,Hybrid - Aggressive,1.76,25-11-1999,"7,413"
Kotak Equity Savings Fund - Regular Plan,4,5.62,18/22,Moderately High,Hybrid,1.76,13-10-2014,"8,254"
Kotak Multi Asset Allocation Fund - Regular Plan,--,4.2,36/39,Very High,Hybrid,1.74,22-09-2023,"7,947"
Kotak Multi Asset Allocator FoF - Dynamic Regular Plan,4,7.77,25/39,Very High,Hybrid,0.99,09-08-2004,"1,799"
LIC MF Aggressive Hybrid Fund,2,5.34,29/44,Very High,Hybrid - Aggressive,2.48,31-03-1992,530
LIC MF Arbitrage Fund - Regular Plan,2,6.7,21/27,Low,Hybrid,0.99,25-01-2019,168
LIC MF Balanced Advantage Fund - Regular Plan,3,9.31,Apr-36,Very High,Hybrid,2.27,12-11-2021,831
LIC MF Conservative Hybrid Fund,1,7.14,14/28,Moderately High,Hybrid,2.25,01-06-1998,51
LIC MF Equity Savings Fund,1,8.18,May-22,Moderate,Hybrid,2.35,07-03-2011,22
LIC MF Multi Asset Allocation Fund - Regular Plan,--,--,--,Very High,Hybrid,2.25,14-02-2025,577
LIC MF Unit Linked Insurance,2,6.38,20/44,Very High,Hybrid - Aggressive,2.37,19-06-1989,493
Mahindra Manulife Aggressive Hybrid Fund - Regular Plan,4,8.16,Jul-44,Very High,Hybrid - Aggressive,2.03,19-07-2019,"1,705"
Mahindra Manulife Arbitrage Fund - Regular Plan,1,5.59,27/27,Low,Hybrid,1.22,24-08-2020,97
Mahindra Manulife Balanced Advantage Fund - Regular Plan,3,5.14,25/36,Very High,Hybrid,2.22,30-12-2021,905
Mahindra Manulife Equity Savings Fund - Regular Plan,2,4.96,20/22,Moderately High,Hybrid,2.36,01-02-2017,570
Mahindra Manulife Multi Asset Allocation Fund - Regular Plan,--,9.12,17/39,Very High,Hybrid,2.04,13-03-2024,600
Mirae Asset Aggressive Hybrid Fund - Regular Plan,3,6.67,17/44,Very High,Hybrid - Aggressive,1.72,29-07-2015,"9,058"
Mirae Asset Arbitrage Fund - Regular Plan,3,6.75,18/27,Low,Hybrid,0.93,19-06-2020,"3,364"
Mirae Asset Balanced Advantage Fund - Regular Plan,--,7.17,13/36,Very High,Hybrid,2.06,11-08-2022,"1,854"
Mirae Asset Equity Savings Fund - Regular Plan,3,8.42,Mar-22,Moderately High,Hybrid,1.37,17-12-2018,"1,442"
Mirae Asset Multi Asset Allocation Fund - Regular Plan,--,10.92,Sep-39,Very High,Hybrid,1.98,31-01-2024,"1,991"
Motilal Oswal Arbitrage Fund - Regular Plan,--,--,--,Low,Hybrid,1,23-12-2024,720
Motilal Oswal Asset Allocation Passive FoF - Aggressive - Regular Plan,2,9.88,14/39,Very High,Hybrid,0.51,12-03-2021,81
Motilal Oswal Asset Allocation Passive FoF - Conservative - Regular Plan,3,10.75,Oct-39,High,Hybrid,0.49,12-03-2021,46
Motilal Oswal Balanced Advantage Fund - Regular Plan,1,-9.29,36/36,Very High,Hybrid,2.27,27-09-2016,923
Motilal Oswal Multi Asset Fund - Regular Plan,1,-9.21,39/39,High,Hybrid,2.04,04-08-2020,94
Navi Aggressive Hybrid Fund - Regular Plan,2,3.74,36/44,Very High,Hybrid - Aggressive,2.28,30-04-2018,121
Nippon India Arbitrage Fund,3,6.79,16/27,Low,Hybrid,1.07,14-10-2010,"14,511"
Nippon India Balanced Advantage Fund,4,6.51,18/36,Very High,Hybrid,1.74,15-11-2004,"9,190"
Nippon India Equity Hybrid Fund,4,6.2,21/44,Very High,Hybrid - Aggressive,1.97,08-06-2005,"3,897"
Nippon India Equity Savings Fund,3,5.28,19/22,Moderate,Hybrid,1.75,30-05-2015,720
Nippon India Hybrid Bond Fund,3,8.59,Jun-28,High,Hybrid,1.88,29-12-2003,886
Nippon India Multi Asset Active FoF - Regular Plan,5,11.32,Jun-39,Very High,Hybrid,1.16,08-02-2021,598
Nippon India Multi Asset Allocation Fund - Regular Plan,3,10.68,Nov-39,Very High,Hybrid,1.45,28-08-2020,"5,981"
Nippon India Retirement Fund - Income Generation Scheme,2,6.5,21/28,Moderately High,Hybrid,2.08,11-02-2015,157
NJ Arbitrage Fund - Regular Plan,--,6.09,26/27,Low,Hybrid,1,01-08-2022,260
NJ Balanced Advantage Fund - Regular Plan,2,0.52,32/36,Very High,Hybrid,1.89,29-10-2021,"3,789"
Parag Parikh Arbitrage Fund - Regular Plan,--,6.83,14/27,Low,Hybrid,0.66,02-11-2023,"1,580"
Parag Parikh Conservative Hybrid Fund - Regular Plan,5,9.29,Mar-28,Moderately High,Hybrid,0.64,26-05-2021,"2,665"
Parag Parikh Dynamic Asset Allocation Fund - Regular Plan,--,8.13,Aug-36,Moderate,Hybrid,0.63,27-02-2024,"2,105"
PGIM India Aggressive Hybrid Equity Fund,2,6.15,25/44,Very High,Hybrid - Aggressive,2.33,05-02-2004,214
PGIM India Arbitrage Fund - Regular Plan,2,6.78,17/27,Low,Hybrid,1.07,27-08-2014,125
PGIM India Balanced Advantage Fund - Regular Plan,1,6.39,19/36,Very High,Hybrid,2.19,04-02-2021,976
PGIM India Equity Savings Fund,3,6.44,13/22,Low to Moderate,Hybrid,1.32,29-01-2004,72
Quant Absolute Fund,3,-2.64,44/44,Very High,Hybrid - Aggressive,2.02,21-03-2001,"2,102"
Quant Arbitrage Fund - Regular Plan,--,--,--,Low,Hybrid,0.89,04-04-2025,103
Quant Dynamic Asset Allocation Fund - Regular Plan,--,-2.01,33/36,Very High,Hybrid,2.13,12-04-2023,"1,247"
Quant Multi Asset Fund,4,5.42,33/39,High,Hybrid,1.88,21-03-2001,"3,416"
Quantum Multi Asset Allocation Fund - Regular Plan,--,8.92,18/39,High,Hybrid,1.96,07-03-2024,35
Quantum Multi Asset Fund of Funds - Regular Plan,3,11.29,Jul-39,High,Hybrid,0.47,11-07-2012,66
Samco Arbitrage Fund - Regular Plan,--,--,--,Low,Hybrid,1.63,27-11-2024,38
Samco Dynamic Asset Allocation Fund - Regular Plan,--,-3.45,34/36,Very High,Hybrid,2.41,28-12-2023,453
Samco Multi Asset Allocation Fund - Regular Plan,--,--,--,Very High,Hybrid,2.21,24-12-2024,279
SBI Arbitrage Opportunities Fund,4,7.08,Apr-27,Low,Hybrid,0.9,03-11-2006,"33,759"
SBI Balanced Advantage Fund - Regular Plan,5,6.66,16/36,Very High,Hybrid,1.57,31-08-2021,"35,566"
SBI Conservative Hybrid Fund,5,6.82,17/28,High,Hybrid,1.54,24-03-2001,"9,643"
SBI Equity Hybrid Fund,3,11.46,Feb-44,Very High,Hybrid - Aggressive,1.39,31-12-1995,"75,639"
SBI Equity Savings Fund - Regular Plan,4,6.63,Dec-22,High,Hybrid,1.44,27-05-2015,"5,431"
SBI Magnum Children's Benefit Fund - Investment Plan - Regular Plan,5,7.94,Aug-44,Very High,Hybrid - Aggressive,1.87,29-09-2020,"3,589"
SBI Magnum Children's Benefit Fund - Savings Plan,5,9.75,Feb-28,Moderately High,Hybrid,1.21,20-02-2002,127
SBI Multi Asset Allocation Fund,4,8.41,22/39,Very High,Hybrid,1.44,21-12-2005,"8,395"
SBI Retirement Benefit Fund - Aggressive Hybrid Plan - Regular Plan,3,1.16,41/44,Very High,Hybrid - Aggressive,2.09,10-02-2021,"1,567"
SBI Retirement Benefit Fund - Conservative Hybrid Plan - Regular Plan,3,4.87,27/28,High,Hybrid,1.67,10-02-2021,284
SBI Retirement Benefit Fund - Conservative Plan - Regular Plan,4,7.15,13/28,Moderately High,Hybrid,1.38,10-02-2021,179
